delta,seed,cell,truth,est,bias,lo,hi,width,covered,estimator,evidence,materiality,validity,final,blocking
0.6,0,rsi35-50,0.6,0.5211231220843916,-0.07887687791560838,0.39961375699918916,0.6499044231220369,0.2502906661228477,True,True,True,False,True,False,MATERIALITY
0.6,0,rsi50-65,0.6,0.6722246391758183,0.07222463917581834,0.5489817798601395,0.7987357346501947,0.24975395479005513,True,True,True,True,True,True,
0.6,0,rsi>=65,0.6,0.5488703531607966,-0.0511296468392034,0.3863564031277164,0.7194022045791314,0.333045801451415,True,True,True,False,True,False,MATERIALITY
0.6,0,adx-1,0.6,0.8196156574704848,0.21961565747048484,0.015150679255913145,1.4710606588647144,1.4559099796088013,True,True,True,False,True,False,MATERIALITY
0.6,0,adx0,0.6,0.5806183469205995,-0.01938165307940043,0.4863476585581221,0.6517370026710528,0.16538934411293071,True,True,True,False,True,False,MATERIALITY
0.6,0,adx1,0.6,0.5709455900059278,-0.02905440999407216,0.4335248755727884,0.7396303712730745,0.3061054957002861,True,True,True,False,True,False,MATERIALITY
0.6,0,adx2,0.6,0.5836856224786104,-0.016314377521389534,0.43854607807525153,0.7171278559948373,0.27858177791958577,True,True,True,False,True,False,MATERIALITY
0.6,0,adx3,0.6,0.6040186417850424,0.004018641785042409,0.5020395038701471,0.7118535929491081,0.20981408907896104,True,True,True,True,True,True,
0.6,0,rsi<35&rs,0.6,0.7647472800726276,0.16474728007262762,0.48291981881691853,1.1427412473563026,0.659821428539384,True,True,True,False,True,False,MATERIALITY
0.6,0,rsi35-50&rs,0.6,0.5327649743803459,-0.06723502561965411,0.32892742529119195,0.7241805257128171,0.39525310042162515,True,True,True,False,True,False,MATERIALITY
0.6,0,rsi50-65&rs,0.6,0.6348810638678134,0.03488106386781342,0.4882815044971657,0.7718107389415367,0.28352923444437106,True,True,True,False,True,False,MATERIALITY
0.6,0,rsi<35&conso,0.6,0.5591819941428293,-0.04081800585717066,0.31784346297022703,0.8067901796626342,0.4889467166924072,True,True,True,False,True,False,MATERIALITY
0.6,0,rsi35-50&conso,0.6,0.5821802275002457,-0.017819772499754305,0.4767291883645189,0.727144386647349,0.25041519828283015,True,True,True,False,True,False,MATERIALITY
0.6,0,rsi50-65&conso,0.6,0.672626016562094,0.072626016562094,0.5409031072390373,0.8048069789688752,0.26390387172983787,True,True,True,True,True,True,
0.6,0,adx1&rs,0.6,0.5072115165286026,-0.09278848347139734,0.30741733033445406,0.7036169397733657,0.39619960943891164,True,True,True,False,True,False,MATERIALITY
0.6,0,adx2&rs,0.6,0.7381007645105556,0.13810076451055564,0.5049510323243613,0.9526874049347563,0.447736372610395,True,True,True,True,True,True,
0.6,0,adx3&rs,0.6,0.6313506634846088,0.0313506634846088,0.5004718238909451,0.790181160505709,0.28970933661476383,True,True,True,True,True,True,
